dt greska izlaz_pid
0.046267 -59.360000000000014 22.02316073160172
0.053401 -73.36000000000001 25
0.053470 -81.36000000000001 25
0.043796 -83.36000000000001 25
0.049746 -85.36000000000001 25
0.051075 -85.36000000000001 25
0.051804 -85.36000000000001 25
0.049166 -86.36000000000001 25
0.053162 -85.36000000000001 24.872116035378134
0.049294 -84.36000000000001 24.54893873871058
0.060453 -83.36000000000001 24.28678152630055
0.053407 -82.36000000000001 23.958943618139784
0.061622 -82.36000000000001 24.19693651021446
0.061428 -81.36000000000001 23.73412071004928
0.060030 -80.36000000000001 23.42856982090641
0.065217 -79.36000000000001 23.14357441856235
0.055986 -78.36000000000001 22.812165904546802
0.052591 -76.36000000000001 21.95064666146187
0.071218 -75.36000000000001 21.8941952317515
0.052732 -74.36000000000001 21.534180380451087
0.071634 -73.36000000000001 21.286772631774543
0.058593 -71.36000000000001 20.426845530396747
0.059317 -70.36000000000001 20.291333134381986
0.056776 -74.36000000000001 22.60666523899895
0.062397 -74.36000000000001 21.94853563035453
0.064646 -76.36000000000001 23.00727459908099
0.059114 -77.36000000000001 23.26279498279198
0.058286 -76.36000000000001 22.61656948257863
0.079444 -71.36000000000001 20.46545184967108
0.051884 -68.36000000000001 19.502079818869618
0.056012 -66.36000000000001 19.060402106120332
0.057868 -65.36000000000001 18.932482278272246
0.061013 -65.36000000000001 19.14516656306709
0.057698 -65.36000000000001 19.182877827486646
0.056797 -66.36000000000001 19.746633305885627
0.066411 -61.360000000000014 17.108428330270367
0.065210 -60.360000000000014 17.39732779343297
0.052205 -58.360000000000014 16.498041273432968
0.057441 -56.360000000000014 15.865332920406507
0.059623 -49.360000000000014 12.618905587074323
0.075407 -51.360000000000014 14.796904702203756
0.056759 -45.360000000000014 11.400329899151952
0.055697 -40.360000000000014 9.83218467901057
0.055946 -40.360000000000014 10.752483175120007
0.059292 -42.360000000000014 11.814913745115701
0.117683 -39.360000000000014 10.218996326144214
0.053159 -40.360000000000014 11.033489732471748
0.043847 -41.360000000000014 11.441576756839806
0.044805 -38.360000000000014 9.511121464966802
0.056998 -38.360000000000014 10.202560320696485
0.055248 -37.360000000000014 9.692199897028594
0.058590 -37.360000000000014 9.89509035972084
0.059416 -40.360000000000014 11.473982777944837
0.061770 -40.360000000000014 10.994001036581647
0.061528 -41.360000000000014 11.531976188414475
0.067768 -43.360000000000014 12.393956534907828
0.056844 -44.360000000000014 12.649970155631415
0.066990 -45.360000000000014 13.00371219877733
0.059301 -46.360000000000014 13.40055822993774
0.054001 -49.360000000000014 14.864129666133621
0.070939 -50.360000000000014 14.835274576553218
0.055359 -51.360000000000014 15.253379369020635
0.056618 -53.360000000000014 16.156194595248316
0.068134 -55.360000000000014 16.834210196052958
0.051592 -57.360000000000014 17.65792297314436
0.060730 -59.360000000000014 18.3356368744408
0.068350 -62.360000000000014 19.537854162074414
0.067241 -65.36000000000001 20.63904114518848
0.053064 -66.36000000000001 20.76655049018775
0.069294 -66.36000000000001 20.62408129771675
0.051521 -68.36000000000001 21.74749347913525
0.055828 -70.36000000000001 22.4568227876128
0.054485 -79.36000000000001 25
0.066814 -93.36000000000001 25
0.058489 -96.36000000000001 25
0.059429 -105.36000000000001 25
0.056136 -105.36000000000001 25
0.056850 -105.36000000000001 25
0.069231 -105.36000000000001 25
0.059655 -105.36000000000001 25
0.062503 -105.36000000000001 25
0.059381 -106.36000000000001 25
0.054556 -105.36000000000001 24.720415386588975
0.061459 -104.36000000000001 24.45514231404389
0.061680 -102.36000000000001 23.656731804856534
0.058195 -102.36000000000001 24.04055663304449
0.062597 -102.36000000000001 24.10463120350958
0.061074 -103.36000000000001 24.681493448147915
0.059608 -103.36000000000001 24.57936787343146
0.059906 -104.36000000000001 25
0.062154 -103.36000000000001 24.469126386141337
0.062129 -104.36000000000001 25
0.060283 -103.36000000000001 24.488983627276586
0.063681 -106.36000000000001 25
0.069953 -105.36000000000001 24.71974951829163
0.056123 -103.36000000000001 23.864355453822473
0.057832 -102.36000000000001 23.756994644158212
0.057186 -80.36000000000001 12.428777138199912
0.062003 -82.36000000000001 17.349495214862067
0.064840 -87.36000000000001 19.604699309401255
0.055900 -89.36000000000001 19.941308916418443
0.064433 -88.36000000000001 19.135258818270593
0.056537 -91.36000000000001 20.92273601491268
0.068173 -94.36000000000001 21.94649680693
0.061575 -97.36000000000001 23.10359838081292
0.055530 -98.36000000000001 23.201091026673833
0.054685 -104.36000000000001 25
0.060373 -111.36000000000001 25
0.064470 -111.36000000000001 25
0.055383 -114.36000000000001 25
0.063458 -115.36000000000001 25
0.068200 -119.36000000000001 25
0.053996 -122.36000000000001 25
0.063127 -123.36000000000001 25
0.058027 -125.36000000000001 25
0.058388 -126.36000000000001 25
0.057529 -135.36 25
0.062675 -139.36 25
0.061625 -165.36 25
0.061648 -170.36 25
0.056884 -170.36 25
0.071701 -170.36 25
0.049969 -170.36 25
0.059816 -170.36 25
0.061623 -170.36 25
0.058534 -170.36 25
0.061867 -170.36 25
0.058596 -170.36 25
0.064958 -170.36 25
0.058268 -170.36 25
